Competition Year,Team,Team Seed,Draw,Relative Draw,Athlete Name,Delivery,Player Position,,In Turn Draws,Percent,Out-Turn Draws,Percent,Total,Total Percent,,In-Turn Hits,Percent,Out-Turn Hits,Percent,Total,Total Perent,,In-Turns,Percent,Out-Turns,Percent,Total,Overall Perent
2019,manitoba,1,8,4,Caitlyn Labossiere,Right,Lead,,2,100%,8,75%,10,80%,,0,0%,6,79%,6,79%,,2,100%,14,77%,16,80%
2019,manitoba,1,10,5,Mackenzie Zacharias,Right,Fourth,,3,100%,6,96%,9,97%,,4,88%,3,75%,7,82%,,7,93%,9,89%,16,91%
2019,manitoba,1,10,5,Lauryn Kuzyk,Right,Third,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2019,manitoba,1,10,5,Emily Zacharias,Right,Second,,4,75%,8,78%,12,77%,,7,86%,5,70%,12,79%,,11,82%,13,75%,24,78%
2019,manitoba,1,10,5,Caitlyn Labossiere,Right,Lead,,2,100%,12,81%,14,84%,,4,75%,6,83%,10,80%,,6,83%,18,82%,24,82%
2019,manitoba,1,12,6,Mackenzie Zacharias,Right,Fourth,,4,81%,4,63%,8,72%,,3,58%,9,75%,12,71%,,7,71%,13,71%,20,71%
2019,manitoba,1,12,6,Lauryn Kuzyk,Right,Third,,2,63%,3,58%,5,60%,,7,54%,8,66%,15,60%,,9,56%,11,64%,20,60%
2019,manitoba,1,12,6,Emily Zacharias,Right,Second,,3,67%,2,100%,5,80%,,8,91%,7,86%,15,88%,,11,84%,9,89%,20,86%
2019,manitoba,1,12,6,Caitlyn Labossiere,Right,Lead,,4,56%,10,58%,14,57%,,2,50%,4,100%,6,83%,,6,54%,14,70%,20,65%
2019,manitoba,1,14,7,Mackenzie Zacharias,Right,Fourth,,6,63%,5,60%,11,61%,,2,0%,3,83%,5,50%,,8,47%,8,69%,16,58%
2019,manitoba,1,14,7,Lauryn Kuzyk,Right,Third,,4,44%,9,69%,13,62%,,2,75%,1,0%,3,50%,,6,54%,10,63%,16,59%
2019,manitoba,1,14,7,Emily Zacharias,Right,Second,,4,75%,8,66%,12,69%,,2,50%,2,100%,4,75%,,6,67%,10,73%,16,70%
2019,manitoba,1,14,7,Caitlyn Labossiere,Right,Lead,,7,89%,9,64%,16,75%,,0,0%,0,0%,0,0%,,7,89%,9,64%,16,75%
2019,manitoba,1,17,8,Mackenzie Zacharias,Right,Fourth,,6,42%,6,50%,12,46%,,4,75%,4,94%,8,84%,,10,55%,10,68%,20,61%
2019,manitoba,1,17,8,Lauryn Kuzyk,Right,Third,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%,,0,0%,0,0%,0,0%
2019,manitoba,1,17,8,Emily Zacharias,Right,Second,,7,82%,3,67%,10,78%,,11,77%,9,78%,20,78%,,18,79%,12,75%,30,78%
2019,manitoba,1,17,8,Caitlyn Labossiere,Right,Lead,,6,96%,14,82%,20,86%,,5,55%,5,80%,10,68%,,11,77%,19,82%,30,80%
2019,manitoba,1,18,9,Mackenzie Zacharias,Right,Fourth,,8,69%,2,88%,10,73%,,7,93%,3,100%,10,95%,,15,80%,5,95%,20,84%
2019,manitoba,1,18,9,Lauryn Kuzyk,Right,Third,,7,86%,10,75%,17,79%,,2,75%,1,50%,3,67%,,9,83%,11,73%,20,78%
2019,manitoba,1,18,9,Emily Zacharias,Right,Second,,3,58%,5,85%,8,75%,,6,58%,6,83%,12,71%,,9,58%,11,84%,20,73%
2019,manitoba,1,18,9,Caitlyn Labossiere,Right,Lead,,8,75%,3,100%,11,82%,,3,83%,6,67%,9,72%,,11,77%,9,78%,20,78%
2019,manitoba,1,19,10,Mackenzie Zacharias,Right,Fourth,,7,86%,4,63%,11,77%,,3,100%,2,50%,5,80%,,10,90%,6,58%,16,78%
2019,manitoba,1,19,10,Lauryn Kuzyk,Right,Third,,4,88%,8,88%,12,88%,,1,25%,2,100%,3,75%,,5,75%,10,90%,15,85%
2019,manitoba,1,19,10,Emily Zacharias,Right,Second,,5,65%,4,100%,9,81%,,3,100%,4,75%,7,86%,,8,78%,8,88%,16,83%
2019,manitoba,1,19,10,Caitlyn Labossiere,Right,Lead,,1,75%,3,100%,4,94%,,8,81%,4,81%,12,81%,,9,81%,7,89%,16,84%
